Player,Nation,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Position
Ruslan Malinovskyi,UKR,Genoa,30,1993,28,1544,55,45.1,17.2,18,76,6,10,18,2,1.25,20,19,+1,+0.06,+0.11,14.8,17.7,-3.0,-0.17,+0.03,MF
Joel Malusà,ITA,Udinese,16,2007,0,,,,,0,,0,0,,6,,,,,,,,,,,,GK
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Gianluca Mancini,ITA,Roma,27,1996,36,2869,80,83.9,31.9,34,84,26,2,15,1,1.64,51,37,+14,+0.44,-0.38,41.5,34.8,+6.7,+0.21,-0.26,DF
Tommaso Mancini,ITA,Juventus,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,FW
Marco Mancosu,ITA,Cagliari,34,1988,6,156,26,4.6,1.7,3,51,0,3,1,8,1.83,2,4,-2,-1.15,-0.49,3.1,2.8,+0.3,+0.16,+0.49,MF
Christos Mandas,GRE,Lazio,21,2001,9,721,80,21.1,8.0,8,90,8,1,1,26,2.11,14,6,+8,+1.00,+0.93,11.5,8.0,+3.5,+0.44,+0.41,GK
Rolando Mandragora,ITA,Fiorentina,26,1997,33,1588,48,46.4,17.6,16,78,7,17,20,3,1.42,28,24,+4,+0.23,-0.31,22.0,27.5,-5.4,-0.31,-0.75,MF
Kostas Manolas,GRE,Salernitana,32,1991,8,488,61,14.3,5.4,6,71,1,2,32,3,0.25,3,9,-6,-1.11,+0.21,4.5,9.8,-5.3,-0.98,+0.22,DF
Alberto Manzoni,ITA,Atalanta,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Riccardo Marchizza,ITA,Frosinone,25,1998,13,1148,88,33.6,12.8,13,88,12,0,,7,1.38,18,21,-3,-0.24,+0.64,15.1,20.6,-5.5,-0.43,-0.17,DF
Gian Marco Ferrari,ITA,Sassuolo,31,1992,31,2272,73,66.4,25.2,25,88,24,6,11,6,0.77,24,47,-23,-0.91,-0.21,26.0,39.0,-13.0,-0.51,+0.17,DF
Pablo Marí,ESP,Monza,29,1993,34,2615,77,76.5,29.1,30,84,24,4,21,0,1.18,29,39,-10,-0.34,-0.12,29.5,43.0,-13.5,-0.47,-0.10,DF
Luca Marianucci,ITA,Empoli,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Mirko Marić,CRO,Monza,28,1995,10,287,29,8.4,3.2,1,59,0,9,25,9,1.09,2,3,-1,-0.31,0.00,4.4,4.3,+0.1,+0.02,+0.50,FW
Răzvan Marin,ROU,Empoli,27,1996,30,1818,61,53.2,20.2,20,80,11,10,21,5,0.83,14,28,-14,-0.69,-0.08,19.9,31.7,-11.8,-0.58,-0.31,MF
Renato Marin,ITA,Roma,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,GK
Agustín Martegani,ARG,Salernitana,23,2000,18,731,41,21.4,8.1,6,73,1,12,25,16,0.28,8,21,-13,-1.60,-0.40,6.9,18.3,-11.3,-1.39,-0.30,MF
Aarón Martín,ESP,Genoa,26,1997,22,1376,63,40.2,15.3,17,76,7,5,17,10,1.27,22,20,+2,+0.13,+0.22,14.2,19.4,-5.2,-0.34,-0.26,DF
Tommaso Martinelli,ITA,Fiorentina,17,2006,1,90,90,2.6,1.0,1,90,1,0,,31,3.00,3,2,+1,+1.00,+0.62,,,,,,GK
Josep Martinez,ESP,Genoa,25,1998,36,3239,90,94.7,36.0,36,90,35,0,,1,1.28,43,43,0,0.00,0.00,33.2,40.6,-7.4,-0.21,-0.35,GK
Lautaro Martínez,ARG,Inter,25,1997,33,2656,80,77.7,29.5,31,84,18,2,32,2,2.58,73,16,+57,+1.93,+0.75,60.9,22.5,+38.4,+1.30,+0.28,FW
Lucas Martínez Quarta,ARG,Fiorentina,27,1996,29,2291,79,67.0,25.5,26,86,21,3,19,5,1.69,42,30,+12,+0.47,+0.23,35.1,31.6,+3.5,+0.14,+0.13,DF
Adam Marušić,MNE,Lazio,30,1992,37,3100,84,90.6,34.4,37,84,29,0,,0,1.65,47,34,+13,+0.38,+1.22,42.2,37.9,+4.3,+0.12,+0.07,DF
Adam Masina,MAR,Udinese,29,1994,4,64,16,1.9,0.7,1,45,0,3,6,9,1.25,0,2,-2,-2.81,-2.44,0.3,2.2,-1.9,-2.67,-2.45,DF
Adam Masina,MAR,Torino,29,1994,16,1024,64,29.9,11.4,10,87,7,6,26,1,1.31,10,12,-2,-0.18,-0.25,9.7,11.9,-2.2,-0.19,-0.28,DF
Alan Matturro,URU,Genoa,18,2004,6,106,18,3.1,1.2,1,75,0,5,6,15,2.33,3,3,0,0.00,0.00,1.6,1.7,-0.2,-0.16,+0.03,DF
Andrea Mazza,ITA,Monza,19,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,GK
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Luca Mazzitelli,ITA,Frosinone,27,1995,29,2210,76,64.6,24.6,26,82,11,3,27,3,0.97,30,37,-7,-0.29,+1.05,30.0,31.6,-1.6,-0.06,+0.71,MF
Pasquale Mazzocchi,ITA,Salernitana,28,1995,18,1272,71,37.2,14.1,16,76,8,2,25,0,0.67,13,30,-17,-1.20,+0.14,11.5,26.5,-15.0,-1.06,+0.16,DF
Pasquale Mazzocchi,ITA,Napoli,28,1995,10,428,43,12.5,4.8,4,78,1,6,19,9,0.80,5,5,0,0.00,-0.21,4.9,2.8,+2.1,+0.44,-0.18,DF
Jordi Mboula,ESP,Hellas Verona,24,1999,11,307,28,9.0,3.4,5,53,0,6,7,9,1.27,2,5,-3,-0.88,-0.59,2.6,3.8,-1.2,-0.36,-0.09,FW
Weston McKennie,USA,Juventus,24,1998,34,2594,76,75.8,28.8,29,85,17,5,29,2,1.88,37,21,+16,+0.56,-0.21,41.5,19.8,+21.7,+0.75,+0.45,MF
Arthur Melo,BRA,Fiorentina,26,1996,33,1986,60,58.1,22.1,23,74,4,10,28,4,1.73,41,26,+15,+0.68,+0.68,32.3,22.2,+10.1,+0.46,+0.87,MF
Leonardo Mendicino,ITA,Atalanta,17,2006,1,1,1,0.0,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,-0.79,0.0,0.0,0.0,-3.68,-4.12,MF
Alex Meret,ITA,Napoli,26,1997,31,2773,89,81.1,30.8,31,89,30,0,,1,1.39,49,40,+9,+0.29,+0.57,53.0,32.3,+20.7,+0.67,+0.34,GK
Junior Messias,BRA,Genoa,32,1991,18,1053,59,30.8,11.7,13,76,4,5,12,1,1.06,14,12,+2,+0.17,+0.25,12.9,14.2,-1.3,-0.11,+0.11,MF
Nikola Milenković,SRB,Fiorentina,25,1997,34,2510,74,73.4,27.9,27,89,26,7,15,4,1.56,45,35,+10,+0.36,-0.14,37.4,36.3,+1.1,+0.04,-0.21,DF
Arkadiusz Milik,POL,Juventus,29,1994,32,919,29,26.9,10.2,7,71,2,25,17,0,2.03,24,6,+18,+1.76,+1.58,18.4,5.5,+12.8,+1.26,+0.83,FW
Vanja Milinković-Savić,SRB,Torino,26,1997,36,3240,90,94.7,36.0,36,90,36,0,,1,1.47,36,31,+5,+0.14,+2.64,36.2,33.3,+2.9,+0.08,+1.40,GK
Yerry Mina,COL,Fiorentina,28,1994,4,44,11,1.3,0.5,0,,0,4,11,10,2.25,0,0,0,0.00,-0.40,0.3,0.1,+0.2,+0.43,+0.34,DF
Yerry Mina,COL,Cagliari,28,1994,14,1215,87,35.5,13.5,14,87,11,0,,1,1.29,21,26,-5,-0.37,+0.49,16.2,20.0,-3.8,-0.28,+0.04,DF
Aleksei Miranchuk,RUS,Atalanta,27,1995,27,1176,44,34.4,13.1,12,76,4,15,18,8,1.96,24,10,+14,+1.07,+0.43,23.5,16.1,+7.4,+0.57,+0.20,MF
Kevin Miranda,ITA,Sassuolo,20,2003,1,14,14,0.4,0.2,0,,0,1,14,1,0.00,0,2,-2,-12.86,-12.06,0.0,0.3,-0.3,-2.02,-1.45,DF
Antonio Mirante,ITA,Milan,40,1983,2,177,89,5.2,2.0,2,89,1,0,,27,0.50,3,3,0,0.00,-0.75,2.9,2.4,+0.5,+0.25,-0.31,GK
Fabio Miretti,ITA,Juventus,19,2003,25,1103,44,32.3,12.3,16,59,0,9,18,12,1.88,18,8,+10,+0.82,+0.31,19.9,9.2,+10.7,+0.88,+0.34,MF
Filippo Missori,ITA,Sassuolo,19,2004,8,266,33,7.8,3.0,2,66,0,6,22,26,0.88,1,6,-5,-1.69,-0.92,1.6,4.3,-2.7,-0.91,-0.37,DF
Stefan Mitrović,SRB,Hellas Verona,20,2002,10,391,39,11.4,4.3,4,59,0,6,26,5,1.20,5,4,+1,+0.23,+0.65,4.5,5.7,-1.2,-0.27,+0.02,FW
Henrikh Mkhitaryan,ARM,Inter,34,1989,36,2785,77,81.4,30.9,35,79,14,1,37,2,2.50,72,18,+54,+1.75,-0.10,62.8,23.9,+38.9,+1.26,+0.09,MF
Ilario Monterisi,ITA,Frosinone,21,2001,24,1469,61,43.0,16.3,16,84,13,8,16,10,0.92,19,36,-17,-1.04,-0.67,18.8,25.9,-7.2,-0.44,-0.22,DF
Lorenzo Montipò,ITA,Hellas Verona,27,1996,37,3330,90,97.4,37.0,37,90,37,0,,0,1.00,36,49,-13,-0.35,-0.35,36.3,46.4,-10.1,-0.27,+0.33,GK
Nikola Moro,CRO,Bologna,25,1998,23,840,37,24.6,9.3,10,62,1,13,17,15,1.61,13,12,+1,+0.11,-0.63,11.9,9.9,+2.0,+0.21,-0.10,MF
Federico Mosca,ITA,Udinese,17,2005,0,,,,,0,,0,0,,6,,,,,,,,,,,,GK
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Dany Mota,POR,Monza,25,1998,34,2049,60,59.9,22.8,24,72,6,10,33,1,1.18,22,35,-13,-0.57,-0.64,23.0,36.0,-12.9,-0.57,-0.32,FW
Andrei Motoc,ROU,Salernitana,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,MF
Matteo Motta,ITA,Inter,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Samuele Mulattieri,ITA,Sassuolo,22,2000,27,462,17,13.5,5.1,1,82,0,26,15,10,0.59,6,18,-12,-2.34,-1.73,7.6,11.8,-4.2,-0.82,-0.29,FW
Vimoj Muntu Wa Mungu,FRA,Torino,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Luis Muriel,COL,Atalanta,32,1991,18,409,23,12.0,4.5,2,55,0,16,19,4,1.78,7,7,0,0.00,-0.90,7.4,6.7,+0.6,+0.14,-0.34,FW
Yunus Musah,USA,Milan,20,2002,30,1478,49,43.2,16.4,13,83,7,17,23,3,1.90,25,23,+2,+0.12,-1.04,22.3,21.8,+0.5,+0.03,-0.91,MF
Juan Musso,ARG,Atalanta,29,1994,11,990,90,28.9,11.0,11,90,11,0,,27,1.73,19,12,+7,+0.64,-0.22,16.2,10.1,+6.0,+0.55,+0.15,GK
Kingstone Mutandwa,ZAM,Cagliari,20,2003,5,39,8,1.1,0.4,0,,0,5,8,9,0.60,1,4,-3,-6.92,-6.31,0.6,3.4,-2.9,-6.63,-6.39,FW
Obite N'Dicka,CIV,Roma,23,1999,25,2168,87,63.4,24.1,25,87,22,0,,4,1.72,41,27,+14,+0.58,+0.22,31.0,28.6,+2.3,+0.10,-0.42,DF
Caumenan N'Guessan,FRA,Torino,19,2003,0,,,,,0,,0,0,,12,,,,,,,,,,,,DF
Nahitan Nández,URU,Cagliari,27,1995,33,2341,71,68.5,26.0,29,78,12,4,19,0,0.91,21,47,-26,-1.00,-1.00,26.9,37.4,-10.6,-0.41,-0.32,MF
Luca Napolitano,ITA,Lazio,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,MF
Natan,BRA,Napoli,22,2001,14,952,68,27.8,10.6,11,80,5,3,26,19,1.50,17,15,+2,+0.19,+0.01,19.4,12.9,+6.6,+0.62,+0.02,DF
Lapo Nava,ITA,Milan,19,2004,1,3,3,0.1,0.0,0,,0,1,3,23,1.00,0,1,-1,-30.00,-30.74,0.4,0.7,-0.3,-9.52,-10.08,GK
Michel Ndary Adopo,FRA,Atalanta,23,2000,10,109,11,3.2,1.2,0,,0,10,11,26,2.10,3,3,0,0.00,-0.82,2.0,1.7,+0.3,+0.22,-0.22,MF
Dan Ndoye,SUI,Bologna,22,2000,32,1771,55,51.8,19.7,20,76,4,12,21,1,1.97,30,13,+17,+0.86,+0.59,26.5,16.1,+10.4,+0.53,+0.50,FW
Cyril Ngonge,BEL,Hellas Verona,23,2000,19,1431,75,41.8,15.9,17,80,7,2,36,1,0.89,14,22,-8,-0.50,-0.28,13.7,17.2,-3.4,-0.22,+0.11,FW
Cyril Ngonge,BEL,Napoli,23,2000,13,315,24,9.2,3.5,1,54,0,12,22,0,1.00,4,5,-1,-0.29,-0.52,7.1,1.9,+5.1,+1.48,+0.96,FW
M'Baye Niang,SEN,Empoli,28,1994,14,708,51,20.7,7.9,5,69,0,9,40,2,1.29,9,10,-1,-0.13,+0.67,9.4,11.1,-1.7,-0.22,+0.28,FW
Hans Nicolussi Caviglia,ITA,Juventus,23,2000,8,268,34,7.8,3.0,3,62,0,5,16,30,2.13,3,2,+1,+0.34,-0.29,4.3,1.8,+2.5,+0.84,+0.21,MF
Eybi Nije,SWE,Torino,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Joseph Nonge,BEL,Juventus,18,2005,2,24,12,0.7,0.3,0,,0,2,12,20,1.50,2,1,+1,+3.75,+3.17,0.1,1.1,-0.9,-3.46,-4.14,MF
Tijjani Noslin,NED,Hellas Verona,24,1999,17,1339,79,39.2,14.9,17,79,9,0,,0,1.24,17,20,-3,-0.20,+0.23,17.6,19.9,-2.3,-0.15,+0.21,FW
Clinton Nsiala,FRA,Milan,19,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,DF
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Simeon Nwankwo,NGA,Salernitana,31,1992,15,686,46,20.1,7.6,6,84,2,9,20,10,0.40,10,13,-3,-0.39,+1.12,6.4,14.8,-8.4,-1.10,+0.08,FW
M'Bala Nzola,ANG,Fiorentina,26,1996,33,1552,47,45.4,17.2,15,77,7,18,22,1,1.48,26,26,0,0.00,-0.72,23.3,24.0,-0.7,-0.04,-0.24,FW
Adam Obert,SVK,Cagliari,20,2002,17,941,55,27.5,10.5,10,85,7,7,14,21,0.65,10,32,-22,-2.10,-1.96,12.0,20.7,-8.8,-0.84,-0.74,DF
Pedro Obiang,EQG,Sassuolo,31,1992,8,453,57,13.2,5.0,5,78,2,3,21,11,0.75,6,13,-7,-1.39,-0.63,4.8,8.7,-3.9,-0.77,-0.23,MF
Guillermo Ochoa,MEX,Salernitana,38,1985,21,1890,90,55.3,21.0,21,90,21,0,,4,0.29,13,44,-31,-1.48,-0.42,13.3,41.4,-28.1,-1.34,-0.40,GK
Jens Odgaard,DEN,Bologna,24,1999,10,431,43,12.6,4.8,5,67,0,5,19,3,2.00,9,1,+8,+1.67,+1.25,6.1,4.0,+2.0,+0.43,+0.16,FW
Noah Okafor,SUI,Milan,23,2000,28,887,32,25.9,9.9,6,67,1,22,22,4,1.96,25,17,+8,+0.81,+0.14,20.1,12.7,+7.4,+0.76,+0.28,FW
David Okereke,NGA,Torino,25,1997,9,252,28,7.4,2.8,3,64,0,6,10,8,1.33,4,1,+3,+1.07,+1.16,2.7,1.8,+0.9,+0.32,+0.34,FW
Caleb Okoli,ITA,Frosinone,22,2001,34,2914,86,85.2,32.4,32,89,30,2,28,1,0.91,35,58,-23,-0.71,-0.35,39.0,47.9,-8.9,-0.27,+0.27,DF
Caleb Okoli,ITA,Atalanta,22,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Maduka Okoye,NGA,Udinese,23,1999,21,1890,90,55.3,21.0,21,90,21,0,,16,1.10,22,25,-3,-0.14,+0.62,19.0,24.4,-5.4,-0.26,+0.01,GK
Mathías Olivera,URU,Napoli,25,1997,23,1569,68,45.9,17.4,18,80,10,5,26,4,1.39,29,18,+11,+0.63,+0.83,29.5,14.4,+15.1,+0.87,+0.48,DF
Jan Oliveras,ESP,Roma,19,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Gaetano Oristanio,ITA,Cagliari,20,2002,25,1104,44,32.3,12.3,11,67,1,14,26,6,0.88,12,19,-7,-0.57,+0.17,12.1,17.3,-5.2,-0.42,-0.18,FW
Riccardo Orsolini,ITA,Bologna,26,1997,33,1792,54,52.4,19.9,19,75,6,14,27,1,1.67,31,17,+14,+0.70,+0.26,27.0,15.3,+11.7,+0.59,+0.63,FW
Victor Osimhen,NGA,Napoli,24,1998,25,1982,79,58.0,22.0,22,86,13,3,33,1,1.40,36,28,+8,+0.36,+0.43,38.0,23.0,+15.0,+0.68,+0.18,FW
Remi Oudin,FRA,Lecce,26,1996,31,1819,59,53.2,20.2,21,75,2,10,25,5,0.94,11,23,-12,-0.59,-0.03,22.5,23.5,-1.1,-0.05,+0.46,MF
Anthony Oyono,GAB,Frosinone,22,2001,16,1198,75,35.0,13.3,14,84,12,2,10,0,1.19,15,23,-8,-0.60,+0.09,14.6,19.4,-4.9,-0.37,-0.08,DF
Daniele Padelli,ITA,Udinese,37,1985,0,,,0.0,0.0,0,,0,0,,29,1.00,1,1,0,,,,,,,,GK
Simone Pafundi,ITA,Udinese,17,2006,1,8,8,0.2,0.1,0,,0,1,8,12,0.00,0,1,-1,-11.25,-10.85,0.0,0.1,-0.1,-1.03,-0.77,MF
Riccardo Pagano,ITA,Roma,18,2004,4,51,13,1.5,0.6,0,,0,4,13,19,1.75,4,1,+3,+5.29,+4.87,1.2,1.1,+0.1,+0.11,-0.14,MF
Marco Palestra,ITA,Atalanta,18,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,DF
Matteo Palma,ITA,Udinese,15,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,DF
Lorenzo Palmisani,ITA,Frosinone,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,GK
Christos Papadopoulos,GRE,Genoa,18,2004,1,4,4,0.1,0.0,0,,0,1,4,7,1.00,1,0,+1,+22.50,+22.53,0.0,0.2,-0.2,-5.06,-4.88,FW
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Leandro Paredes,ARG,Roma,29,1994,34,2634,77,77.0,29.3,32,81,17,2,22,0,1.65,42,34,+8,+0.27,-0.99,35.4,29.4,+6.0,+0.21,-0.20,MF
Fabiano Parisi,ITA,Fiorentina,22,2000,21,1454,69,42.5,16.2,16,86,13,5,14,16,1.38,25,20,+5,+0.31,-0.15,24.6,16.7,+7.9,+0.49,+0.69,DF
Mario Pašalić,CRO,Atalanta,28,1995,34,2051,60,60.0,22.8,23,78,13,11,23,4,1.91,47,29,+18,+0.79,0.00,38.8,27.8,+11.0,+0.48,+0.10,MF
Triantafyllos Pasaridīs,GRE,Salernitana,27,1996,8,452,57,13.2,5.0,5,77,3,3,22,7,0.50,4,11,-7,-1.39,-0.12,4.5,11.5,-7.0,-1.39,-0.27,DF
Pietro Passador,ITA,Torino,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,GK
Nicola Patanè,ITA,Hellas Verona,19,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,MF
Patric,ESP,Lazio,30,1993,20,1608,80,47.0,17.9,19,82,17,1,45,8,1.85,25,12,+13,+0.73,+0.88,24.2,16.0,+8.2,+0.46,+0.64,DF
Rui Patrício,POR,Roma,35,1988,23,2070,90,60.5,23.0,23,90,23,0,,15,1.65,41,27,+14,+0.61,+0.28,31.7,20.8,+10.9,+0.47,+0.56,GK
Benjamin Pavard,FRA,Inter,27,1996,23,1672,73,48.9,18.6,21,79,13,2,4,8,2.52,37,11,+26,+1.40,-0.71,33.9,12.9,+21.0,+1.13,-0.21,DF
Leonardo Pavoletti,ITA,Cagliari,34,1988,19,628,33,18.4,7.0,5,72,2,14,19,9,0.79,9,11,-2,-0.29,+0.49,10.7,7.8,+3.0,+0.43,+0.90,FW
Martín Payero,ARG,Udinese,24,1998,29,1796,62,52.5,20.0,21,77,9,8,21,4,0.97,24,29,-5,-0.25,+0.36,22.5,25.3,-2.9,-0.14,+0.25,MF
Yeferson Paz,COL,Sassuolo,21,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,DF
Marcus Pedersen,NOR,Sassuolo,23,2000,28,1613,58,47.2,17.9,16,86,14,12,20,5,0.82,14,40,-26,-1.45,-1.15,15.7,28.4,-12.7,-0.71,-0.26,DF
Pedro,ESP,Lazio,36,1987,33,816,25,23.9,9.1,5,59,0,28,19,4,1.64,12,9,+3,+0.33,+0.09,12.5,7.5,+5.0,+0.55,+0.57,FW
Gianluca Pegolo,ITA,Sassuolo,42,1981,0,,,,,0,,0,0,,37,,,,,,,,,,,,GK
David Pejičić,SVN,Udinese,16,2007,0,,,,,0,,0,0,,6,,,,,,,,,,,,MF
Pietro Pellegri,ITA,Torino,22,2001,24,756,32,22.1,8.4,7,65,0,17,18,7,1.42,10,12,-2,-0.24,-0.31,6.0,12.5,-6.5,-0.78,-1.01,FW
Lorenzo Pellegrini,ITA,Roma,27,1996,29,1859,64,54.4,20.7,20,79,7,9,30,2,1.62,38,28,+10,+0.48,-0.03,28.3,22.2,+6.1,+0.30,+0.10,MF
Luca Pellegrini,ITA,Lazio,24,1999,19,786,41,23.0,8.7,8,64,1,11,25,16,1.21,9,8,+1,+0.11,-0.19,10.1,9.0,+1.1,+0.12,0.00,DF
Marco Pellegrino,,Salernitana,,,10,545,55,15.9,6.1,5,85,4,5,24,6,0.40,4,18,-14,-2.31,-1.22,4.6,15.1,-10.6,-1.74,-0.69,DF
Marco Pellegrino,,Milan,,,1,68,68,2.0,0.8,0,,0,1,68,9,1.00,2,2,0,0.00,-0.72,1.6,1.5,+0.1,+0.16,-0.39,DF
Pepín,EQG,Monza,26,1996,10,241,24,7.0,2.7,2,45,0,8,19,16,1.20,2,2,0,0.00,+0.34,2.0,5.6,-3.6,-1.36,-0.99,MF
Pedro Pereira,POR,Monza,25,1998,23,841,37,24.6,9.3,9,65,2,14,18,15,1.04,8,17,-9,-0.96,-0.86,11.2,17.8,-6.6,-0.71,-0.35,DF
Gastón Pereiro,URU,Cagliari,28,1995,0,,,,,0,,0,0,,13,,,,,,,,,,,,FW
Roberto Pereyra,ARG,Udinese,32,1991,27,1858,69,54.3,20.6,22,80,13,5,20,4,0.93,25,30,-5,-0.24,+0.39,21.2,27.8,-6.6,-0.32,-0.12,FW
Player,,Squad,Ag,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Po
Nehuén Pérez,ARG,Udinese,23,2000,36,3238,90,94.7,36.0,36,90,34,0,,0,1.00,36,49,-13,-0.36,+1.12,37.9,47.0,-9.1,-0.25,+0.20,DF
Simone Perilli,ITA,Hellas Verona,28,1995,1,90,90,2.6,1.0,1,90,1,0,,37,1.00,2,2,0,0.00,+0.35,1.7,2.4,-0.6,-0.60,-0.33,GK
Mattia Perin,ITA,Juventus,30,1992,3,225,75,6.6,2.5,3,75,2,0,,30,2.33,5,1,+4,+1.60,+1.06,4.0,1.1,+3.0,+1.19,+0.58,GK
Samuele Perisan,ITA,Empoli,25,1997,1,90,90,2.6,1.0,1,90,1,0,,37,0.00,0,2,-2,-2.00,-1.38,1.0,2.0,-1.0,-1.02,-0.60,GK
Matteo Pessina,ITA,Monza,26,1997,37,3222,87,94.2,35.8,37,87,30,0,,0,1.22,36,44,-8,-0.22,+1.59,37.3,51.0,-13.7,-0.38,+1.01,MF
Andrea Petagna,ITA,Monza,28,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,FW
Andrea Petagna,ITA,Cagliari,28,1995,18,995,55,29.1,11.1,13,72,4,5,12,10,0.72,12,20,-8,-0.72,-0.06,10.9,19.2,-8.2,-0.75,-0.62,FW
Giuseppe Pezzella,ITA,Empoli,25,1997,19,1085,57,31.7,12.1,14,72,5,5,15,4,0.79,4,17,-13,-1.08,-0.62,6.2,19.3,-13.1,-1.09,-0.95,DF
Edoardo Piana,ITA,Udinese,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,GK
Roberto Piccoli,ITA,Empoli,22,2001,2,39,20,1.1,0.4,0,,0,2,20,0,0.00,0,1,-1,-2.31,-1.67,0.4,0.9,-0.5,-1.16,-0.73,FW
Roberto Piccoli,ITA,Lecce,22,2001,35,1378,39,40.3,15.3,12,75,4,23,21,0,0.97,16,21,-5,-0.33,+0.42,19.6,22.3,-2.7,-0.18,+0.15,FW
Santiago Pierotti,ARG,Lecce,22,2001,11,200,18,5.8,2.2,0,,0,11,18,7,0.82,3,4,-1,-0.45,+0.14,4.2,3.2,+1.0,+0.47,+0.78,MF
Niccolò Pierozzi,ITA,Fiorentina,21,2001,0,,,,,0,,0,0,,9,,,,,,,,,,,,DF
Niccolò Pierozzi,ITA,Salernitana,21,2001,12,871,73,25.5,9.7,11,77,6,1,25,1,0.33,8,20,-12,-1.24,+0.07,6.8,18.4,-11.6,-1.20,-0.06,DF
Andrea Pinamonti,ITA,Sassuolo,24,1999,38,3076,81,89.9,34.2,37,83,13,1,8,0,0.79,40,63,-23,-0.67,+1.68,34.7,53.2,-18.5,-0.54,+0.32,FW
Carlo Pinsoglio,ITA,Juventus,33,1990,1,45,45,1.3,0.5,0,,0,1,45,37,3.00,0,0,0,0.00,-0.61,0.3,0.4,0.0,-0.06,-0.72,GK
Lorenzo Pirola,ITA,Salernitana,21,2002,27,1987,74,58.1,22.1,24,79,16,3,27,1,0.44,17,49,-32,-1.45,-0.38,18.5,42.3,-23.8,-1.08,+0.20,DF
Niccolò Pisilli,ITA,Roma,18,2004,1,10,10,0.3,0.1,0,,0,1,10,22,0.00,0,0,0,0.00,-0.50,0.0,0.0,0.0,-0.33,-0.58,MF
Tommaso Pittino,ITA,Genoa,18,2005,0,,,,,0,,0,0,,7,,,,,,,,,,,,DF
Tommaso Pobega,ITA,Milan,24,1999,11,319,29,9.3,3.5,3,61,1,8,17,9,2.55,7,4,+3,+0.85,+0.15,5.8,4.7,+1.1,+0.30,-0.27,MF
Paul Pogba,FRA,Juventus,30,1993,2,54,27,1.6,0.6,0,,0,2,27,1,2.00,2,0,+2,+3.33,+2.77,1.2,0.2,+1.1,+1.77,+1.14,MF
