Player,Nation,Squad,Age,Position,League,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals,Penalty Kicked,Yellow Cards,Red Cards,xG,Non-Penalty xG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received
Manu Sánchez,ESP,Celta Vigo,22,DF,La Liga,26,20,1775,19.7,0.0,0.2535211267605634,0.2535211267605634,0.0,0.0,0.0,0.15211267605633805,0.0,0.02535211267605634,0.02535211267605634,0.13690140845070423,0.16225352112676056,2.0788732394366196,3.7521126760563384,3.3971830985915497
Alex Sandro,BRA,Juventus,32,DF,Serie A,16,8,721,8.0,0.12482662968099861,0.0,0.12482662968099861,0.12482662968099861,0.0,0.0,0.12482662968099861,0.0,0.049930651872399444,0.049930651872399444,0.11234396671289876,0.1622746185852982,1.9972260748959778,5.367545076282941,1.1234396671289875
Sadibou Sané,SEN,Metz,19,DF,Ligue 1,14,9,846,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.04255319148936171,0.04255319148936171,0.0,0.04255319148936171,0.851063829787234,2.021276595744681,0.851063829787234
Arouna Sangante,SEN,Le Havre,21,DF,Ligue 1,30,30,2687,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.2679568291775214,0.0,0.030145143282471157,0.030145143282471157,0.04019352437662821,0.07033866765909938,0.6698920729438035,3.583922590249349,0.9043542984741347
Tiago santos,POR,Lille,21,DF,Ligue 1,29,26,2365,26.3,0.03805496828752643,0.07610993657505286,0.11416490486257927,0.03805496828752643,0.0,0.0,0.22832980972515854,0.0,0.05327695560253699,0.05327695560253699,0.08752642706131078,0.13699788583509515,3.386892177589852,3.9957716701902752,5.2135306553911205
Paco Sanz,ESP,Almería,18,DF,La Liga,1,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bouna Sarr,SEN,Bayern Munich,31,DF,Bundesliga,2,1,106,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16981132075471697,0.16981132075471697,0.0,0.16981132075471697,2.547169811320755,1.6981132075471697,3.3962264150943393
Mamadou Sarr,FRA,Lyon,17,DF,Ligue 1,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Savić,MNE,Atlético Madrid,32,DF,La Liga,23,19,1630,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3865030674846626,0.05521472392638037,0.01656441717791411,0.01656441717791411,0.005521472392638037,0.027607361963190184,0.7730061349693252,3.6441717791411046,0.11042944785276074
Zanos Savva,CYP,Torino,17,DF,Serie A,2,0,28,0.3,3.214285714285714,0.0,3.214285714285714,3.214285714285714,0.0,0.0,0.0,0.0,0.6428571428571429,0.6428571428571429,0.0,0.6428571428571429,0.0,3.214285714285714,3.214285714285714
Saba Sazonov,GEO,Torino,21,DF,Serie A,12,2,356,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5056179775280899,0.0,0.050561797752808994,0.050561797752808994,0.0,0.050561797752808994,0.0,2.0224719101123596,0.0
Joe Scally,USA,Gladbach,20,DF,Bundesliga,31,25,2236,24.8,0.04025044722719141,0.16100178890876565,0.20125223613595705,0.04025044722719141,0.0,0.0,0.16100178890876565,0.0,0.024150268336314847,0.024150268336314847,0.05635062611806797,0.07647584973166369,1.569767441860465,3.0187835420393556,3.0187835420393556
Giorgio Scalvini,ITA,Atalanta,19,DF,Serie A,33,31,2544,28.3,0.03537735849056604,0.1061320754716981,0.14150943396226415,0.03537735849056604,0.0,0.0,0.1061320754716981,0.0,0.04952830188679245,0.04952830188679245,0.03891509433962264,0.08844339622641509,1.0613207547169812,4.10377358490566,1.1674528301886793
Fabian Schär,SUI,Newcastle Utd,31,DF,Premier League,36,35,3054,33.9,0.11787819253438114,0.029469548133595286,0.14734774066797643,0.11787819253438114,0.0,0.0,0.14734774066797643,0.0,0.07367387033398821,0.07367387033398821,0.020628683693516697,0.09724950884086443,0.825147347740668,3.919449901768173,0.5893909626719057
Keven Schlotterbeck,GER,Bochum,26,DF,Bundesliga,27,24,2185,24.3,0.20594965675057209,0.041189931350114416,0.24713958810068648,0.20594965675057209,0.0,0.0,0.3707093821510298,0.0,0.08237986270022883,0.08237986270022883,0.02471395881006865,0.11121281464530892,0.3707093821510298,3.8306636155606406,0.6178489702517163
Nico Schlotterbeck,GER,Dortmund,23,DF,Bundesliga,33,32,2859,31.8,0.06295907660020987,0.031479538300104935,0.0944386149003148,0.06295907660020987,0.0,0.0,0.12591815320041974,0.0,0.0944386149003148,0.0944386149003148,0.059811122770199364,0.15424973767051417,1.7313746065057714,5.855194123819517,0.3462749213011543
Kenneth Schmidt,GER,Freiburg,21,DF,Bundesliga,5,0,68,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323529411764706,0.1323529411764706,2.6470588235294117,5.294117647058823,3.9705882352941178
Benno Schmitz,GER,Köln,28,DF,Bundesliga,22,13,1155,12.8,0.0,0.07792207792207792,0.07792207792207792,0.0,0.0,0.0,0.38961038961038963,0.0,0.015584415584415584,0.015584415584415584,0.023376623376623377,0.03896103896103896,2.103896103896104,5.454545454545455,3.662337662337662
Perr Schuurs,NED,Torino,23,DF,Serie A,9,9,770,8.6,0.11688311688311688,0.0,0.11688311688311688,0.11688311688311688,0.0,0.0,0.23376623376623376,0.0,0.0818181818181818,0.0818181818181818,0.0,0.0818181818181818,1.051948051948052,2.220779220779221,0.4675324675324675
Aleksandar Sedlar,SRB,Alavés,31,DF,La Liga,11,11,946,10.5,0.09513742071881608,0.0,0.09513742071881608,0.09513742071881608,0.0,0.0,0.19027484143763215,0.0,0.028541226215644817,0.028541226215644817,0.009513742071881607,0.028541226215644817,0.5708245243128964,2.473572938689218,0.09513742071881608
Alidu Seidu,GHA,Rennes,23,DF,Ligue 1,11,7,593,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4553119730185497,0.0,0.030354131534569985,0.030354131534569985,0.015177065767284992,0.04553119730185497,2.124789207419899,3.490725126475548,3.6424957841483976
Alidu Seidu,GHA,Clermont Foot,23,DF,Ligue 1,14,13,1131,12.6,0.0,0.07957559681697612,0.07957559681697612,0.0,0.0,0.0,0.3978779840848807,0.07957559681697612,0.007957559681697613,0.007957559681697613,0.055702917771883284,0.055702917771883284,1.273209549071618,2.6259946949602124,0.23872679045092837
Nélson Semedo,POR,Wolves,29,DF,Premier League,36,36,3084,34.3,0.0,0.029182879377431907,0.029182879377431907,0.0,0.0,0.0,0.2918287937743191,0.029182879377431907,0.03793774319066148,0.03793774319066148,0.04961089494163424,0.08754863813229571,3.0058365758754864,4.027237354085603,4.377431906614786
Marvin Senaya,TOG,Strasbourg,22,DF,Ligue 1,32,23,2138,23.8,0.042095416276894296,0.042095416276894296,0.08419083255378859,0.042095416276894296,0.0,0.0,0.21047708138447146,0.042095416276894296,0.050514499532273154,0.050514499532273154,0.11786716557530401,0.16838166510757718,2.020579981290926,3.1150608044901773,3.4097287184284375
Marcos Senesi,ARG,Bournemouth,26,DF,Premier League,31,26,2242,24.9,0.16057091882247992,0.20071364852809992,0.36128456735057984,0.16057091882247992,0.0,0.0,0.5218554861730598,0.0,0.08028545941123996,0.08028545941123996,0.06824264049955396,0.14852809991079394,1.2444246208742196,5.098126672613738,0.16057091882247992
Andres Sfait,ROU,Salernitana,18,DF,Serie A,2,0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,0.391304347826087,3.9130434782608696,3.9130434782608696,7.826086956521739
Luke Shaw,ENG,Manchester Utd,28,DF,Premier League,12,12,959,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5630865484880083,0.0,0.0,0.0,0.09384775808133472,0.09384775808133472,0.9384775808133472,4.223149113660062,2.815432742440042
Tim Siersleben,GER,Heidenheim,23,DF,Bundesliga,14,10,910,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0989010989010989,0.0,0.01978021978021978,0.01978021978021978,0.04945054945054945,0.06923076923076923,1.1868131868131868,4.747252747252747,0.0989010989010989
Kiliann Sildillia,FRA,Freiburg,21,DF,Bundesliga,27,20,1806,20.1,0.0,0.04983388704318937,0.04983388704318937,0.0,0.0,0.0,0.09966777408637874,0.04983388704318937,0.02990033222591362,0.02990033222591362,0.0398671096345515,0.06976744186046512,1.0963455149501662,3.488372093023256,2.890365448504983
Caio Henrique Oliveira Silva,BRA,Monaco,26,DF,Ligue 1,9,7,623,6.9,0.0,0.7223113964686998,0.7223113964686998,0.0,0.0,0.0,0.0,0.0,0.028892455858747994,0.028892455858747994,0.18780096308186198,0.21669341894060995,2.3113964686998396,4.767255216693419,7.8009630818619575
Thiago Silva,BRA,Chelsea,38,DF,Premier League,31,28,2527,28.1,0.10684606252473289,0.03561535417491096,0.14246141669964385,0.10684606252473289,0.0,0.0,0.14246141669964385,0.0,0.028492283339928773,0.028492283339928773,0.03561535417491096,0.06410763751483974,0.07123070834982193,3.632766125840918,0.1780767708745548
Mohamed Simakan,FRA,RB Leipzig,23,DF,Bundesliga,32,23,2138,23.8,0.08419083255378859,0.12628624883068287,0.21047708138447146,0.08419083255378859,0.0,0.0,0.33676333021515437,0.0,0.16417212347988774,0.16417212347988774,0.13891487371375116,0.3030869971936389,1.431244153414406,4.462114125350795,3.1992516370439663
Jan-Carlo Simic,SRB,Milan,18,DF,Serie A,4,0,146,1.6,0.6164383561643836,0.0,0.6164383561643836,0.6164383561643836,0.0,0.0,0.0,0.0,0.3698630136986301,0.3698630136986301,0.0,0.3698630136986301,0.0,3.698630136986301,0.0
Wilfried Singo,CIV,Monaco,22,DF,Ligue 1,25,24,2187,24.3,0.0411522633744856,0.0411522633744856,0.0823045267489712,0.0411522633744856,0.0,0.0,0.3292181069958848,0.0411522633744856,0.03292181069958848,0.03292181069958848,0.0411522633744856,0.07818930041152262,1.5637860082304529,5.967078189300412,1.2757201646090535
Daley Sinkgraven,NED,Las Palmas,28,DF,La Liga,11,6,388,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23195876288659795,0.0,0.0,0.0,0.0,0.6958762886597938,3.9432989690721647,1.8556701030927836
Jailson Siqueira,BRA,Celta Vigo,27,DF,La Liga,14,9,897,10.0,0.0,0.10033444816053512,0.10033444816053512,0.0,0.0,0.0,0.10033444816053512,0.0,0.020066889632107024,0.020066889632107024,0.05016722408026756,0.07023411371237458,1.605351170568562,3.8127090301003346,0.802675585284281
Leo Skiri Østigård,NOR,Napoli,23,DF,Serie A,25,18,1625,18.1,0.055384615384615386,0.0,0.055384615384615386,0.055384615384615386,0.0,0.0,0.16615384615384615,0.0,0.03323076923076923,0.03323076923076923,0.005538461538461538,0.038769230769230764,0.72,4.2092307692307696,0.16615384615384615
Robert Skov,DEN,Hoffenheim,27,DF,Bundesliga,25,14,1260,14.0,0.2142857142857143,0.2857142857142857,0.5,0.2142857142857143,0.0,0.0,0.14285714285714285,0.0,0.12857142857142856,0.12857142857142856,0.1357142857142857,0.2642857142857143,2.0,5.071428571428571,6.571428571428572
Milan Škriniar,SVK,Paris S-G,28,DF,Ligue 1,24,17,1629,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.055248618784530384,0.0,0.011049723756906079,0.011049723756906079,0.005524861878453039,0.011049723756906079,0.27624309392265195,3.3701657458563536,0.055248618784530384
Chris Smalling,ENG,Roma,33,DF,Serie A,8,4,390,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09230769230769231,0.09230769230769231,0.23076923076923078,3.0,0.46153846153846156
Adam Smith,ENG,Bournemouth,32,DF,Premier League,28,25,2150,23.9,0.0,0.08372093023255814,0.08372093023255814,0.0,0.0,0.0,0.25116279069767444,0.0,0.004186046511627907,0.004186046511627907,0.05441860465116279,0.05860465116279069,1.0046511627906978,3.7255813953488373,1.172093023255814
Hrvoje Smolčić,CRO,Eint Frankfurt,22,DF,Bundesliga,11,3,347,3.9,0.25936599423631124,0.0,0.25936599423631124,0.25936599423631124,0.0,0.0,0.0,0.0,0.25936599423631124,0.25936599423631124,0.0,0.25936599423631124,0.0,3.6311239193083575,0.0
Cédric Soares,POR,Arsenal,31,DF,Premier League,3,0,62,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.354838709677419,8.709677419354838
Danilo Soares,BRA,Bochum,31,DF,Bundesliga,5,3,351,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641025641025644,0.025641025641025644,0.7692307692307693,3.8461538461538463,2.0512820512820515
Eduard Sobol,UKR,Strasbourg,28,DF,Ligue 1,3,0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,3.6,0.0
Alex Sola,ESP,Real Sociedad,24,DF,La Liga,2,0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
Brandon Soppy,FRA,Torino,21,DF,Serie A,5,2,178,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050561797752808994,0.050561797752808994,4.550561797752809,3.033707865168539,1.5168539325842696
Saidou Sow,GUI,Strasbourg,21,DF,Ligue 1,10,8,719,8.0,0.0,0.12517385257301808,0.12517385257301808,0.0,0.0,0.0,0.25034770514603616,0.0,0.037552155771905425,0.037552155771905425,0.06258692628650904,0.10013908205841447,0.12517385257301808,3.004172461752434,0.0
Çağlar Söyüncü,TUR,Atlético Madrid,27,DF,La Liga,6,1,114,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,1.5789473684210527,4.7368421052631575,0.0
Djed Spence,ENG,Genoa,22,DF,Serie A,16,8,859,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.10477299185098952,0.0,0.020954598370197905,0.020954598370197905,0.03143189755529686,0.04190919674039581,1.7811408614668218,2.619324796274738,3.2479627473806754
Leonardo Spinazzola,ITA,Roma,30,DF,Serie A,24,15,1312,14.6,0.06859756097560976,0.13719512195121952,0.20579268292682926,0.06859756097560976,0.0,0.0,0.0,0.0,0.013719512195121951,0.013719512195121951,0.20579268292682926,0.21951219512195122,7.408536585365854,3.567073170731707,5.076219512195122
Josip Stanišić,CRO,Leverkusen,23,DF,Bundesliga,20,13,1261,14.0,0.2141157811260904,0.07137192704203013,0.2854877081681205,0.2141157811260904,0.0,0.0,0.2141157811260904,0.0,0.05709754163362411,0.05709754163362411,0.12133227597145123,0.17129262490087233,3.4972244250594766,6.566217287866773,4.4964314036478985
Carl Starfelt,SWE,Celta Vigo,28,DF,La Liga,27,26,2216,24.6,0.04061371841155235,0.0,0.04061371841155235,0.04061371841155235,0.0,0.0,0.1624548736462094,0.0,0.05685920577617328,0.05685920577617328,0.00812274368231047,0.06498194945848376,0.20306859205776173,1.5433212996389893,0.04061371841155235
Niklas Stark,GER,Werder Bremen,28,DF,Bundesliga,17,12,1088,12.1,0.16544117647058823,0.0,0.16544117647058823,0.16544117647058823,0.0,0.0,0.33088235294117646,0.0,0.016544117647058824,0.016544117647058824,0.0,0.016544117647058824,0.4136029411764706,3.0606617647058822,0.08272058823529412
Pascal Stenzel,GER,Stuttgart,27,DF,Bundesliga,23,14,1064,11.8,0.0,0.42293233082706766,0.42293233082706766,0.0,0.0,0.0,0.2537593984962406,0.08458646616541353,0.025375939849624055,0.025375939849624055,0.27067669172932335,0.29605263157894735,2.87593984962406,7.189849624060151,3.8909774436090223
Leonidas Stergiou,SUI,Stuttgart,21,DF,Bundesliga,15,6,594,6.6,0.15151515151515152,0.0,0.15151515151515152,0.15151515151515152,0.0,0.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.9090909090909092,2.5757575757575757,3.333333333333333
John Stones,ENG,Manchester City,29,DF,Premier League,16,12,1064,11.8,0.08458646616541353,0.0,0.08458646616541353,0.08458646616541353,0.0,0.0,0.16917293233082706,0.0,0.08458646616541353,0.08458646616541353,0.01691729323308271,0.1099624060150376,1.3533834586466165,4.821428571428571,2.0300751879699246
Álex Suárez,ESP,Las Palmas,30,DF,La Liga,32,30,2562,28.5,0.0702576112412178,0.0,0.0702576112412178,0.0702576112412178,0.0,0.0,0.2459016393442623,0.0,0.04215456674473068,0.04215456674473068,0.00702576112412178,0.04918032786885246,0.4215456674473068,3.82903981264637,0.5269320843091335
Damián Suárez,URU,Getafe,35,DF,La Liga,16,15,1299,14.4,0.0,0.13856812933025403,0.13856812933025403,0.0,0.0,0.0,0.48498845265588914,0.06928406466512702,0.020785219399538105,0.020785219399538105,0.05542725173210162,0.08314087759815242,1.3856812933025404,4.018475750577367,3.25635103926097
Gabriel Suazo,CHI,Toulouse,25,DF,Ligue 1,31,27,2357,26.2,0.0,0.15273652948663555,0.15273652948663555,0.0,0.0,0.0,0.19092066185829445,0.0,0.02672889266016122,0.02672889266016122,0.11455239711497665,0.14128128977513787,1.680101824352991,4.352991090369113,6.338565973695376
Niklas Süle,GER,Dortmund,27,DF,Bundesliga,23,14,1514,16.8,0.059445178335535004,0.0,0.059445178335535004,0.059445178335535004,0.0,0.0,0.0,0.0,0.023778071334214,0.023778071334214,0.011889035667107,0.035667107001321,1.1294583883751652,4.933949801849406,0.535006605019815
Abakar Sylla,CIV,Strasbourg,20,DF,Ligue 1,22,19,1792,19.9,0.10044642857142856,0.0,0.10044642857142856,0.10044642857142856,0.0,0.0,0.20089285714285712,0.0,0.08035714285714286,0.08035714285714286,0.02511160714285714,0.10044642857142856,0.40178571428571425,3.616071428571429,0.10044642857142856
Dembo Sylla,GUI,Lorient,20,DF,Ligue 1,1,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,12.0
Issiaga Sylla,GUI,Montpellier,29,DF,Ligue 1,19,17,1455,16.2,0.061855670103092786,0.12371134020618557,0.18556701030927836,0.061855670103092786,0.0,0.0,0.18556701030927836,0.0,0.0865979381443299,0.0865979381443299,0.10515463917525773,0.19175257731958764,1.7938144329896906,2.6597938144329896,3.154639175257732
Attila Szalai,HUN,Hoffenheim,25,DF,Bundesliga,4,4,288,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.15625,0.15625,0.625,4.0625,0.9375
Attila Szalai,HUN,Freiburg,25,DF,Bundesliga,3,0,103,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08737864077669903,0.08737864077669903,0.8737864077669902,4.368932038834951,0.0
Nicolás Tagliafico,ARG,Lyon,30,DF,Ligue 1,25,25,2123,23.6,0.12717852096090437,0.04239284032030146,0.16957136128120584,0.12717852096090437,0.0,0.0,0.29674988224211024,0.04239284032030146,0.11022138483278379,0.11022138483278379,0.04239284032030146,0.14837494112105512,1.3565708902496467,4.451248233631653,5.044747998115874
Jonathan Tah,GER,Leverkusen,27,DF,Bundesliga,31,30,2631,29.2,0.13683010262257697,0.03420752565564424,0.1710376282782212,0.13683010262257697,0.0,0.0,0.20524515393386544,0.0,0.07183580387685291,0.07183580387685291,0.010262257696693273,0.07867730900798174,0.5815279361459521,4.549600912200685,0.13683010262257697
Montassar Talbi,TUN,Lorient,25,DF,Ligue 1,25,25,2204,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.08166969147005444,0.0,0.02450090744101633,0.02450090744101633,0.008166969147005446,0.03266787658802178,0.6125226860254084,3.5934664246823957,0.28584392014519056
Adrien Tameze,CMR,Torino,29,DF,Serie A,29,25,2146,23.8,0.0,0.08387698042870456,0.08387698042870456,0.0,0.0,0.0,0.2516309412861137,0.04193849021435228,0.029356943150046597,0.029356943150046597,0.09226467847157503,0.12162162162162161,0.9226467847157503,3.7744641192917054,1.6356011183597392
Edmond Tapsoba,BFA,Leverkusen,24,DF,Bundesliga,28,23,2087,23.2,0.0,0.04312410158121706,0.04312410158121706,0.0,0.0,0.0,0.17249640632486823,0.0,0.04312410158121706,0.04312410158121706,0.04312410158121706,0.08624820316243412,2.113080977479636,7.072352659319598,0.5174892189746046
Matt Targett,ENG,Newcastle Utd,27,DF,Premier League,3,1,78,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,0.0,0.0,0.0,0.0,0.0,1.1538461538461537,2.3076923076923075,0.0
James Tarkowski,ENG,Everton,30,DF,Premier League,38,38,3419,38.0,0.026323486399532026,0.026323486399532026,0.05264697279906405,0.026323486399532026,0.0,0.0,0.2895583503948523,0.0,0.06844106463878327,0.06844106463878327,0.06580871599883006,0.13424978063761334,0.3948522959929804,3.4220532319391634,0.5264697279906405
César Tárrega,ESP,Valencia,21,DF,La Liga,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuno Tavares,POR,Nott'ham Forest,23,DF,Premier League,8,5,457,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3938730853391685,0.0,0.03938730853391685,0.03938730853391685,0.09846827133479212,0.13785557986870894,2.7571115973741795,4.726477024070022,2.363238512035011
Charlie Taylor,ENG,Burnley,29,DF,Premier League,28,25,2331,25.9,0.03861003861003861,0.03861003861003861,0.07722007722007722,0.03861003861003861,0.0,0.0,0.3088803088803089,0.0,0.007722007722007722,0.007722007722007722,0.04633204633204633,0.05791505791505791,1.38996138996139,3.1660231660231664,3.1274131274131274
Jackson Tchatchoua,CMR,Hellas Verona,21,DF,Serie A,26,19,1725,19.2,0.0,0.10434782608695652,0.10434782608695652,0.0,0.0,0.0,0.10434782608695652,0.0,0.0,0.0,0.06782608695652174,0.06782608695652174,1.7739130434782608,2.765217391304348,3.443478260869565
Enzo Tchato,CMR,Montpellier,20,DF,Ligue 1,17,11,1125,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.024,0.024,0.024,0.048,2.08,3.68,4.56
Nathan Tella,NGA,Leverkusen,24,DF,Bundesliga,24,8,819,9.1,0.5494505494505495,0.21978021978021978,0.7692307692307693,0.5494505494505495,0.0,0.0,0.21978021978021978,0.0,0.38461538461538464,0.38461538461538464,0.3516483516483516,0.7362637362637363,3.8461538461538463,3.076923076923077,12.527472527472527
Nahuel Tenaglia,ARG,Alavés,27,DF,La Liga,25,11,1141,12.7,0.07887817703768624,0.0,0.07887817703768624,0.07887817703768624,0.0,0.0,0.3943908851884312,0.0,0.04732690622261174,0.04732690622261174,0.03943908851884312,0.09465381244522349,1.340929009640666,3.5495179666958805,1.89307624890447
Filippo Terracciano,ITA,Hellas Verona,20,DF,Serie A,18,14,1296,14.4,0.0,0.06944444444444445,0.06944444444444445,0.0,0.0,0.0,0.06944444444444445,0.0,0.020833333333333332,0.020833333333333332,0.06944444444444445,0.09027777777777779,1.8055555555555554,3.541666666666667,1.9444444444444444
Filippo Terracciano,ITA,Milan,20,DF,Serie A,3,1,76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,1.1842105263157894,1.1842105263157894
Kenny Tete,NED,Fulham,27,DF,Premier League,14,10,867,9.6,0.10380622837370243,0.0,0.10380622837370243,0.10380622837370243,0.0,0.0,0.20761245674740486,0.0,0.09342560553633218,0.09342560553633218,0.04152249134948097,0.1245674740484429,2.0761245674740487,5.6055363321799305,3.9446366782006925
Arthur Theate,BEL,Rennes,23,DF,Ligue 1,28,27,2296,25.5,0.078397212543554,0.0,0.078397212543554,0.078397212543554,0.0,0.0,0.156794425087108,0.0,0.0744773519163763,0.0744773519163763,0.0313588850174216,0.10583623693379791,1.293554006968641,5.918989547038327,0.9407665505226481
Malick Thiaw,GER,Milan,21,DF,Serie A,21,19,1619,18.0,0.0,0.055589870290302656,0.055589870290302656,0.0,0.0,0.0,0.2779493514515133,0.055589870290302656,0.033353922174181594,0.033353922174181594,0.0055589870290302665,0.03891290920321186,0.8338480543545399,3.891290920321186,0.055589870290302656
Luke Thomas,ENG,Sheffield Utd,22,DF,Premier League,12,11,917,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.29443838604143946,0.0,0.04907306434023991,0.04907306434023991,0.009814612868047983,0.05888767720828789,0.7851690294438386,3.2388222464558343,2.1592148309705563
Kieran Tierney,SCO,Real Sociedad,26,DF,La Liga,20,14,1238,13.8,0.0,0.14539579967689822,0.14539579967689822,0.0,0.0,0.0,0.07269789983844911,0.0,0.014539579967689823,0.014539579967689823,0.04361873990306946,0.05815831987075929,1.5993537964458806,5.597738287560582,2.8352180936995155
Antonio Tikvić,CRO,Udinese,19,DF,Serie A,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jurriën Timber,NED,Arsenal,22,DF,Premier League,2,1,71,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,10.140845070422536,6.338028169014085
Jean-Clair Todibo,FRA,Nice,23,DF,Ligue 1,30,30,2651,29.5,0.0,0.06789890607317993,0.06789890607317993,0.0,0.0,0.0,0.06789890607317993,0.033949453036589965,0.02036967182195398,0.02036967182195398,0.05431912485854395,0.07468879668049794,1.0863824971708789,5.092417955488495,0.37344398340248963
Harry Toffolo,ENG,Nott'ham Forest,27,DF,Premier League,23,15,1459,16.2,0.061686086360520906,0.1850582590815627,0.24674434544208362,0.061686086360520906,0.0,0.0,0.1850582590815627,0.0,0.09869773817683346,0.09869773817683346,0.09252912954078135,0.19739547635366692,0.6168608636052091,2.590815627141878,2.0973269362577107
Jeremy Toljan,GER,Sassuolo,28,DF,Serie A,25,24,2083,23.1,0.0,0.2160345655304849,0.2160345655304849,0.0,0.0,0.0,0.04320691310609697,0.0,0.025924147863658185,0.025924147863658185,0.06913106096975517,0.09073451752280365,1.512241958713394,3.4133461353816608,3.6725876140182425
Rafael Tolói,ITA,Atalanta,32,DF,Serie A,18,10,965,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5595854922279793,0.09326424870466321,0.009326424870466322,0.009326424870466322,0.009326424870466322,0.009326424870466322,0.7461139896373057,4.94300518134715,0.9326424870466321
Takehiro Tomiyasu,JPN,Arsenal,24,DF,Premier League,22,10,1149,12.8,0.1566579634464752,0.0783289817232376,0.2349869451697128,0.1566579634464752,0.0,0.0,0.1566579634464752,0.0783289817232376,0.1174934725848564,0.1174934725848564,0.03133159268929504,0.14882506527415143,1.3315926892950392,5.639686684073107,2.898172323759791
James Tomkins,ENG,Crystal Palace,34,DF,Premier League,4,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Fikayo Tomori,ENG,Milan,25,DF,Serie A,26,24,2121,23.6,0.16973125884016974,0.0,0.16973125884016974,0.16973125884016974,0.0,0.0,0.33946251768033947,0.042432814710042434,0.157001414427157,0.157001414427157,0.008486562942008486,0.16548797736916548,0.6789250353606789,2.673267326732673,0.08486562942008487
Raúl Torrente,ESP,Granada,21,DF,La Liga,17,14,1250,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003,0.0,0.014400000000000001,0.014400000000000001,0.028800000000000003,0.043199999999999995,0.28800000000000003,2.376,0.14400000000000002
